state,q_values
"(' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ')","[8.46114359 8.60601471 8.49306597 8.64499493 8.66290017 6.28328309
 8.73202376 8.60287568 8.96717517]"
"(' ', ' ', ' ', ' ', ' ', ' ', 'O', 'X', ' ')","[6.03175436 8.51083342 5.78253221 8.43388841 9.10405744 8.15235881
 0.         0.         1.7201519 ]"
"(' ', 'O', 'X', ' ', ' ', ' ', 'O', 'X', ' ')","[5.26611143 0.         0.         4.54263569 5.18258373 5.30205519
 0.         0.         8.83930732]"
"(' ', 'O', 'X', 'O', ' ', 'X', 'O', 'X', ' ')","[ 4.7803392  0.         0.         0.        -9.9024     0.
  0.         0.        10.       ]"
"('X', 'O', 'X', 'O', 'O', 'X', 'O', 'X', ' ')",[ 0.  0.  0.  0.  0.  0.  0.  0. 10.]
"('X', 'O', 'X', 'O', 'O', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'O', 'X', ' ', ' ', ' ', ' ')","[9.044      9.10479416 9.11927021 0.         0.         8.17594835
 9.11985408 9.11999996 9.49997568]"
"('O', ' ', 'X', 'O', 'X', ' ', ' ', ' ', ' ')","[ 0.          8.87480191  0.          0.          0.          9.47503992
 10.         -9.24496034  9.4998    ]"
"('O', ' ', 'X', 'O', 'X', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O', 'X')","[8.93497102 9.00377478 9.49999977 8.93954916 9.02879981 9.04096
 9.025      0.         0.        ]"
"(' ', ' ', ' ', 'X', ' ', 'O', ' ', 'O', 'X')","[9.5        8.99611987 8.75838319 0.         9.28524695 0.
 9.30894195 0.         0.        ]"
"(' ', ' ', ' ', 'X', 'O', 'O', 'X', 'O', 'X')","[10.          5.69975633  1.91799849  0.          0.          0.
  0.          0.          0.        ]"
"('O', 'X', ' ', 'X', 'O', 'O', 'X', 'O', 'X')",[0. 0. 5. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', ' ', ' ', 'X', ' ', ' ', ' ')","[0.         6.07979768 9.49938714 9.03641204 8.52880172 0.
 9.02488303 8.94926368 8.14302891]"
"('O', ' ', ' ', ' ', 'X', 'X', 'O', ' ', ' ')","[ 0.          6.37499842 -6.104992   10.          0.          0.
  0.         -6.10024952  6.37975074]"
"('O', ' ', 'O', ' ', 'X', 'X', 'O', ' ', 'X')","[  0.           5.72480161   0.          10.           0.
   0.           0.         -10.           0.        ]"
"('O', ' ', 'O', 'O', 'X', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', ' ', 'X', 'O', 'X', ' ')","[5.29364101 0.         5.53326917 9.42300713 5.95222212 0.
 0.         0.         7.9415068 ]"
"(' ', 'O', 'O', ' ', 'X', 'X', 'O', 'X', ' ')","[ 9.5        0.         0.        10.         0.         0.
  0.         0.        -6.1011984]"
"(' ', 'O', 'O', 'O', 'X', 'X', 'O', 'X', 'X')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'O', 'O', 'O', 'X', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', 'O', ' ', 'X', ' ', ' ')","[5.90212745 5.94288904 5.88357824 6.0869544  0.         5.98308236
 0.         5.63238978 9.47327813]"
"(' ', ' ', ' ', 'X', 'O', ' ', 'X', ' ', 'O')","[10.         -6.12496002  6.38        0.          0.          6.3799984
  0.         -6.24980033  0.        ]"
"(' ', 'X', ' ', 'X', 'O', ' ', 'X', 'O', 'O')","[10.          0.          9.34520319  0.          0.          8.87587824
  0.          0.          0.        ]"
"('X', 'X', ' ', 'X', 'O', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', ' ', ' ', ' ', ' ', ' ')","[9.40879883 0.         9.02497448 0.         9.5        6.88541631
 9.3899216  8.00851945 9.02485361]"
"('X', 'O', ' ', 'X', ' ', 'O', ' ', ' ', ' ')","[ 0.          0.          8.71811116  0.          9.5         0.
 10.          9.49994689  9.5       ]"
"('X', 'O', ' ', 'X', 'O', 'O', ' ', 'X', ' ')","[ 0.          0.          8.58673296  0.          0.          0.
 10.          0.          4.90326474]"
"('X', 'O', ' ', 'X', 'O', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', ' ', ' ', ' ', 'X', ' ', ' ')","[9.0288     8.5714902  0.         9.2141736  8.98464032 8.39149607
 0.         6.50935215 9.4992704 ]"
"(' ', 'X', 'O', ' ', ' ', 'O', 'X', ' ', ' ')","[ 6.24876634  0.          0.          5.60494292  8.7892578   0.
  0.         -6.22485279  9.11997467]"
"(' ', 'X', 'O', ' ', ' ', 'O', 'X', 'O', 'X')","[9.5        0.         0.         5.54794066 8.55000924 0.
 0.         0.         0.        ]"
"('X', 'X', 'O', ' ', 'O', 'O', 'X', 'O', 'X')",[ 0.  0.  0. 10.  0.  0.  0.  0.  0.]
"('X', 'X', 'O', 'X', 'O', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'O')","[0.         8.79828775 9.49987839 2.70607742 1.         8.9943447
 9.10163334 9.02421323 0.        ]"
"('X', ' ', ' ', 'X', ' ', ' ', ' ', 'O', 'O')","[ 0.          9.4997584  -6.22579841  0.          9.5         9.35023999
 10.          0.          0.        ]"
"('X', 'X', ' ', 'X', 'O', ' ', ' ', 'O', 'O')","[ 0.          0.         10.          0.          0.          6.37975046
 10.          0.          0.        ]"
"('X', 'X', 'X', 'X', 'O', ' ', ' ', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'O', 'X', ' ', ' ', 'X', ' ')","[ 9.5        10.          0.          0.          0.          9.45967012
  9.5         0.          9.5       ]"
"(' ', 'O', 'O', 'O', 'X', ' ', ' ', 'X', 'X')","[10.          0.          0.          0.          0.         -9.87400185
 10.          0.          0.        ]"
"(' ', 'O', 'O', 'O', 'X', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', ' ', ' ', ' ', 'O', 'X')","[-6.13015269  0.          9.48099824  0.          9.5         6.3764736
 -1.345024    0.          0.        ]"
"(' ', 'O', ' ', 'X', 'X', 'O', ' ', 'O', 'X')","[10.          0.          9.49999514  0.          0.          0.
  9.49999903  0.          0.        ]"
"('X', 'O', ' ', 'X', 'X', 'O', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'O', ' ', ' ', ' ', ' ', 'X')","[8.37317376 9.0245364  9.10479995 0.         9.11987743 8.76965778
 9.49936768 8.12080734 0.        ]"
"('X', 'O', ' ', 'O', ' ', ' ', ' ', ' ', 'X')",[ 0.   0.   9.5  0.  10.   9.5  9.5  9.5  0. ]
"('X', 'O', 'O', 'O', ' ', 'X', ' ', ' ', 'X')",[ 0.   0.   0.   0.  10.   0.   9.5  9.5  0. ]
"('X', 'O', 'O', 'O', 'X', 'X', ' ', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'O', ' ', 'X', ' ', ' ', ' ')","[6.23984429 8.55638104 8.71009693 0.         8.54663149 0.
 7.63218607 8.48678142 9.49999996]"
"(' ', 'X', ' ', 'O', ' ', 'X', ' ', 'O', ' ')","[9.46808769 0.         9.5        0.         5.0581211  0.
 8.30299813 0.         9.46740987]"
"('X', 'X', ' ', 'O', 'O', 'X', ' ', 'O', ' ')","[ 0.          0.         10.          0.          0.          0.
  8.70929641  0.          8.58770807]"
"('X', 'X', 'O', 'O', 'O', 'X', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 5.]
"('X', 'X', 'O', 'O', 'O', 'X', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', ' ', ' ', ' ', 'X', ' ', 'O')","[ 0.          0.          9.5        10.          9.5         9.49985091
  0.          9.25415036  0.        ]"
"('X', 'O', ' ', 'O', 'X', ' ', 'X', ' ', 'O')","[ 0.          0.         10.          0.          0.          8.70837184
  0.          9.31122768  0.        ]"
"('X', 'O', 'X', 'O', 'X', ' ', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ')","[0.         9.11693568 9.0438782  0.         9.04397568 8.85484072
 9.02495467 9.02029544 9.04317294]"
"('X', ' ', 'O', 'O', 'X', ' ', ' ', ' ', ' ')","[ 0.          9.5         0.          0.          0.          8.39691581
  9.49994852  9.5        10.        ]"
"('X', 'O', 'O', 'O', 'X', ' ', 'X', ' ', ' ')","[ 0.          0.          0.          0.          0.          9.46351998
  0.          9.34070198 10.        ]"
"('X', 'O', 'O', 'O', 'X', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 5. 0. 0. 0.]
"('X', 'O', 'O', 'O', 'X', 'X', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', 'O')","[8.84064547 0.         9.484192   8.96030187 8.46425343 9.02186961
 9.01829581 7.95456106 0.        ]"
"('X', 'X', ' ', ' ', ' ', 'O', ' ', ' ', 'O')","[ 0.          0.         10.          5.73104     9.49899195  0.
  9.37500032  9.37515973  0.        ]"
"('X', 'X', 'O', ' ', ' ', 'O', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', ' ', 'X', 'O', ' ')","[9.5        8.92207946 8.51715467 9.0438784  9.04399996 8.53092778
 0.         0.         6.00502447]"
"('X', ' ', ' ', ' ', 'O', ' ', 'X', 'O', ' ')","[ 0.          9.5         8.87579872 10.          0.         -6.72966449
  0.          0.          9.48994345]"
"('X', ' ', ' ', 'O', 'O', 'X', 'X', 'O', ' ')","[ 0.          4.9020604  -6.10024928  0.          0.          0.
  0.          0.         -9.88201216]"
